1,1,3,100.0
2,1,10,100.161
5,2,2,50.0
18,6,8,90.0
3,7,1,30.0
17,7,4,30.0
8,19,4,100.0
22,4,5,50.0
6,8,2,50.0
10,11,3,40.0
11,11,4,40.0
10,14,3,50.0
8,15,3,40.0
27,27,3,60.0
35,33,3,40.0
0,0,3,40.526
3,2,3,20.0
4,4,3,40.0
5,5,7,50.167
6,6,8,70.261
8,6,3,70.0
9,9,10,90.1
16,10,7,60.0
13,14,5,30.0
2,15,3,60.0
33,15,3,60.0
14,16,2,40.0
15,17,5,110.0
21,21,3,30.0
34,33,4,60.0
32,35,6,60.0
45,36,5,60.0
46,37,5,50.0
26,40,4,40.0
29,44,2,60.0
39,45,4,80.0
2,0,9,30.157
3,4,4,80.111
8,10,6,40.0
1,1,6,60.354
2,1,3,60.205
3,1,6,60.077
1,3,6,60.098
2,3,3,60.143
3,3,6,60.267
14,13,6,60.0
10,21,6,100.0
17,21,9,100.0
12,24,2,80.0
20,24,9,80.0
0,6,2,120.0
5,6,8,120.036
8,6,8,120.033
9,6,5,120.0
6,7,2,50.0
4,9,2,80.0
3,3,3,40.2
5,5,2,30.0
6,7,3,60.0
7,12,4,50.0
16,16,6,240.0
4,3,7,90.115
3,6,3,50.0
11,9,8,60.0
1,12,3,50.0
6,12,4,50.0
12,12,5,50.0
8,3,9,60.0
7,5,6,100.072
2,7,5,70.0
5,7,6,70.0
11,9,4,40.0
2,12,5,90.0
4,12,2,90.0
9,12,7,90.0
13,3,2,40.0
6,6,5,160.0
11,6,10,160.038
12,6,9,160.018
8,8,2,70.0
10,8,8,70.0
15,12,10,110.0
11,14,10,170.0
12,14,9,170.0
4,12,4,50.0
9,5,8,70.0
4,6,3,40.0
1,11,4,70.0
3,11,10,70.0
6,11,8,70.0
9,11,8,70.0
1,3,3,100.0
2,3,2,100.0
3,3,7,100.08
4,3,5,100.08
6,3,8,100.175
7,6,11,90.136
0,1,3,50.321
1,1,5,50.332
5,5,5,60.143
16,13,4,70.0
2,4,4,60.143
8,7,7,70.0
13,12,2,30.0
13,14,2,90.0
4,18,3,60.0
15,18,4,60.0
17,19,4,60.0
3,20,5,100.0
19,20,4,100.0
27,20,11,100.0
29,20,9,100.0
30,20,4,100.0
2,29,4,30.0
24,32,6,90.0
7,8,3,60.0
9,12,9,60.0
14,13,3,70.0
11,17,7,80.0
13,18,2,100.0
2,22,3,70.0
18,22,2,70.0
19,22,7,70.0
2,5,8,80.101
7,0,4,40.0
2,5,3,70.0
10,8,3,140.0
5,11,10,120.0
12,13,7,50.0
0,16,3,40.0
5,16,2,40.0
5,22,2,20.0
26,22,2,20.0
27,23,8,80.0
11,24,2,110.0
0,1,2,70.0
1,6,9,90.099
2,6,6,90.1
4,6,5,90.0
5,6,5,90.0
6,6,3,90.0
8,1,2,40.0
9,1,2,40.0
3,3,2,80.0
0,11,1,40.0
2,2,9,60.185
10,5,10,100.091
19,12,4,40.0
31,15,4,100.0
34,15,9,100.0
5,17,2,50.0
30,17,3,50.0
24,21,5,70.0
26,23,8,70.0
31,25,4,120.0
34,25,9,120.0
13,27,7,90.0
32,27,7,90.0
38,27,4,90.0
29,2,8,110.0
6,11,3,60.0
8,11,2,60.0
7,15,7,70.0
6,16,3,60.0
9,29,9,70.0
10,30,9,70.0
18,30,4,70.0
25,30,4,70.0
11,8,3,90.0
5,16,6,90.0
6,16,6,90.0
8,21,6,80.0
2,29,13,180.0
14,38,6,60.0
16,38,4,60.0
22,38,8,60.0
5,1,4,60.266
8,4,8,90.19
2,5,2,40.0
4,5,1,40.0
9,5,4,40.0
3,8,4,110.0
4,8,1,110.0
5,8,4,110.0
9,8,4,110.0
12,8,6,110.0
11,16,3,40.0
10,2,2,20.0
15,10,3,30.0
14,11,2,50.0
16,11,7,50.0
1,7,3,50.0
13,12,7,180.0
15,12,6,180.0
16,12,6,180.0
2,15,5,120.0
4,15,8,120.0
7,15,9,120.0
8,15,8,120.0
9,15,5,120.0
11,15,8,120.0
1,2,4,40.149
2,2,4,40.516
0,5,3,110.0
8,8,5,110.0
9,9,7,130.0
12,9,5,130.0
13,9,6,130.0
19,14,10,110.0
19,16,10,110.0
21,16,10,110.0
26,19,2,20.0
27,20,7,70.0
0,22,3,110.0
0,23,3,140.0
6,23,2,140.0
28,23,8,140.0
5,25,12,30.0
15,25,5,30.0
31,25,3,30.0
34,28,5,90.0
36,28,9,90.0
1,3,10,110.066
7,6,6,70.125
3,9,4,70.0
4,9,8,70.0
5,9,8,70.0
9,9,7,70.0
7,1,10,140.025
1,2,5,70.07
8,5,8,120.043
14,5,8,120.0
12,8,9,100.0
0,11,3,90.0
11,11,10,90.0
16,13,3,40.0
17,14,9,120.0
